"date","series_id","value","realtime_start","realtime_end"
2011-03-01,"DFF",-0.0180760368663594,2022-06-15,2022-06-15
2011-04-01,"DFF",-0.0407096774193548,2022-06-15,2022-06-15
2011-05-01,"DFF",-0.00412903225806452,2022-06-15,2022-06-15
2011-06-01,"DFF",-0.00187096774193548,2022-06-15,2022-06-15
2011-07-01,"DFF",-0.0210322580645161,2022-06-15,2022-06-15
2011-08-01,"DFF",0.0248387096774194,2022-06-15,2022-06-15
2011-09-01,"DFF",-0.0118064516129032,2022-06-15,2022-06-15
2011-10-01,"DFF",-0.0133548387096774,2022-06-15,2022-06-15
2011-11-01,"DFF",0.0103548387096774,2022-06-15,2022-06-15
2011-12-01,"DFF",-0.00938709677419355,2022-06-15,2022-06-15
2012-01-01,"DFF",0.0103225806451613,2022-06-15,2022-06-15
2012-02-01,"DFF",0.0218576195773081,2022-06-15,2022-06-15
2012-03-01,"DFF",0.0229810901001112,2022-06-15,2022-06-15
2012-04-01,"DFF",0.0125591397849462,2022-06-15,2022-06-15
2012-05-01,"DFF",0.0164731182795699,2022-06-15,2022-06-15
2012-06-01,"DFF",0.00586021505376344,2022-06-15,2022-06-15
2012-07-01,"DFF",-0.00521505376344086,2022-06-15,2022-06-15
2012-08-01,"DFF",-0.0241935483870968,2022-06-15,2022-06-15
2012-09-01,"DFF",0.0120752688172043,2022-06-15,2022-06-15
2012-10-01,"DFF",0.0140537634408602,2022-06-15,2022-06-15
2012-11-01,"DFF",0.00227956989247312,2022-06-15,2022-06-15
2012-12-01,"DFF",0.0038494623655914,2022-06-15,2022-06-15
2013-01-01,"DFF",-0.0219354838709677,2022-06-15,2022-06-15
2013-02-01,"DFF",0.00241935483870968,2022-06-15,2022-06-15
2013-03-01,"DFF",-0.00145161290322581,2022-06-15,2022-06-15
2013-04-01,"DFF",0.00145161290322581,2022-06-15,2022-06-15
2013-05-01,"DFF",-0.0359677419354839,2022-06-15,2022-06-15
2013-06-01,"DFF",-0.0153655913978495,2022-06-15,2022-06-15
2013-07-01,"DFF",-0.00108602150537634,2022-06-15,2022-06-15
2013-08-01,"DFF",-0.00967741935483871,2022-06-15,2022-06-15
2013-09-01,"DFF",-0.00290322580645161,2022-06-15,2022-06-15
2013-10-01,"DFF",0.00709677419354839,2022-06-15,2022-06-15
2013-11-01,"DFF",-0.00276344086021505,2022-06-15,2022-06-15
2013-12-01,"DFF",0.000827956989247312,2022-06-15,2022-06-15
2014-01-01,"DFF",-0.0135483870967742,2022-06-15,2022-06-15
2014-02-01,"DFF",-0.00518433179723502,2022-06-15,2022-06-15
2014-03-01,"DFF",0.0116359447004608,2022-06-15,2022-06-15
2014-04-01,"DFF",0.0122688172043011,2022-06-15,2022-06-15
2014-05-01,"DFF",-0.00323655913978495,2022-06-15,2022-06-15
2014-06-01,"DFF",0.00856989247311828,2022-06-15,2022-06-15
2014-07-01,"DFF",-0.0046989247311828,2022-06-15,2022-06-15
2014-08-01,"DFF",-0.00290322580645161,2022-06-15,2022-06-15
2014-09-01,"DFF",0.000268817204301075,2022-06-15,2022-06-15
2014-10-01,"DFF",0.000698924731182796,2022-06-15,2022-06-15
2014-11-01,"DFF",0.00296774193548387,2022-06-15,2022-06-15
2014-12-01,"DFF",0.0305806451612903,2022-06-15,2022-06-15
2015-01-01,"DFF",-0.00774193548387097,2022-06-15,2022-06-15
2015-02-01,"DFF",-0.00412442396313364,2022-06-15,2022-06-15
2015-03-01,"DFF",0.0021889400921659,2022-06-15,2022-06-15
2015-04-01,"DFF",0.0117634408602151,2022-06-15,2022-06-15
2015-05-01,"DFF",-0.00144086021505376,2022-06-15,2022-06-15
2015-06-01,"DFF",0.0057741935483871,2022-06-15,2022-06-15
2015-07-01,"DFF",0.00132258064516129,2022-06-15,2022-06-15
2015-08-01,"DFF",0.00774193548387097,2022-06-15,2022-06-15
2015-09-01,"DFF",-0.00206451612903226,2022-06-15,2022-06-15
2015-10-01,"DFF",-0.0124516129032258,2022-06-15,2022-06-15
2015-11-01,"DFF",-0.00588172043010753,2022-06-15,2022-06-15
2015-12-01,"DFF",0.122978494623656,2022-06-15,2022-06-15
2016-01-01,"DFF",0.102258064516129,2022-06-15,2022-06-15
2016-02-01,"DFF",0.0322691879866518,2022-06-15,2022-06-15
2016-03-01,"DFF",-0.0129143492769744,2022-06-15,2022-06-15
2016-04-01,"DFF",0.0030752688172043,2022-06-15,2022-06-15
2016-05-01,"DFF",-0.000172043010752688,2022-06-15,2022-06-15
2016-06-01,"DFF",0.012505376344086,2022-06-15,2022-06-15
2016-07-01,"DFF",0.0139462365591398,2022-06-15,2022-06-15
2016-08-01,"DFF",0.00516129032258065,2022-06-15,2022-06-15
2016-09-01,"DFF",-0.000440860215053763,2022-06-15,2022-06-15
2016-10-01,"DFF",0.000118279569892473,2022-06-15,2022-06-15
2016-11-01,"DFF",0.0102150537634409,2022-06-15,2022-06-15
2016-12-01,"DFF",0.133333333333333,2022-06-15,2022-06-15
2017-01-01,"DFF",0.109677419354839,2022-06-15,2022-06-15
2017-02-01,"DFF",0.00710829493087558,2022-06-15,2022-06-15
2017-03-01,"DFF",0.12934331797235,2022-06-15,2022-06-15
2017-04-01,"DFF",0.109870967741935,2022-06-15,2022-06-15
2017-05-01,"DFF",0.0114193548387097,2022-06-15,2022-06-15
2017-06-01,"DFF",0.13258064516129,2022-06-15,2022-06-15
2017-07-01,"DFF",0.110645161290323,2022-06-15,2022-06-15
2017-08-01,"DFF",0.0064516129032258,2022-06-15,2022-06-15
2017-09-01,"DFF",-0.0037634408602151,2022-06-15,2022-06-15
2017-10-01,"DFF",0.0005376344086022,2022-06-15,2022-06-15
2017-11-01,"DFF",0.0031290322580645,2022-06-15,2022-06-15
2017-12-01,"DFF",0.144612903225806,2022-06-15,2022-06-15
2018-01-01,"DFF",0.112903225806452,2022-06-15,2022-06-15
2018-02-01,"DFF",0.0029838709677419,2022-06-15,2022-06-15
2018-03-01,"DFF",0.0886290322580645,2022-06-15,2022-06-15
2018-04-01,"DFF",0.186204301075269,2022-06-15,2022-06-15
2018-05-01,"DFF",0.0076666666666667,2022-06-15,2022-06-15
2018-06-01,"DFF",0.119666666666667,2022-06-15,2022-06-15
2018-07-01,"DFF",0.0903333333333333,2022-06-15,2022-06-15
2018-08-01,"DFF",0.0048387096774194,2022-06-15,2022-06-15
2018-09-01,"DFF",0.0398279569892473,2022-06-15,2022-06-15
2018-10-01,"DFF",0.233075268817204,2022-06-15,2022-06-15
2018-11-01,"DFF",0.0099247311827957,2022-06-15,2022-06-15
2018-12-01,"DFF",0.0765268817204301,2022-06-15,2022-06-15
2019-01-01,"DFF",0.125806451612903,2022-06-15,2022-06-15
2019-02-01,"DFF",0,2022-06-15,2022-06-15
2019-03-01,"DFF",0.0051612903225806,2022-06-15,2022-06-15
2019-04-01,"DFF",0.0185053763440861,2022-06-15,2022-06-15
2019-05-01,"DFF",-0.0326989247311828,2022-06-15,2022-06-15
2019-06-01,"DFF",-0.0133010752688172,2022-06-15,2022-06-15
2019-07-01,"DFF",0.0252365591397849,2022-06-15,2022-06-15
2019-08-01,"DFF",-0.277096774193548,2022-06-15,2022-06-15
2019-09-01,"DFF",-0.0828064516129032,2022-06-15,2022-06-15
2019-10-01,"DFF",-0.213322580645161,2022-06-15,2022-06-15
2019-11-01,"DFF",-0.276344086021505,2022-06-15,2022-06-15
2019-12-01,"DFF",-0.0023655913978494,2022-06-15,2022-06-15
2020-01-01,"DFF",-0.0003225806451613,2022-06-15,2022-06-15
2020-02-01,"DFF",0.0324582869855395,2022-06-15,2022-06-15
2020-03-01,"DFF",-0.930845383759733,2022-06-15,2022-06-15
2020-04-01,"DFF",-0.603258064516129,2022-06-15,2022-06-15
2020-05-01,"DFF",0.001,2022-06-15,2022-06-15
2020-06-01,"DFF",0.0276666666666667,2022-06-15,2022-06-15
2020-07-01,"DFF",0.0149139784946237,2022-06-15,2022-06-15
2020-08-01,"DFF",0.00258064516129032,2022-06-15,2022-06-15
2020-09-01,"DFF",-0.00516129032258065,2022-06-15,2022-06-15
2020-10-01,"DFF",0,2022-06-15,2022-06-15
2020-11-01,"DFF",-0.00366666666666667,2022-06-15,2022-06-15
2020-12-01,"DFF",0.00366666666666667,2022-06-15,2022-06-15
2021-01-01,"DFF",-0.00483870967741936,2022-06-15,2022-06-15
2021-02-01,"DFF",-0.00944700460829493,2022-06-15,2022-06-15
2021-03-01,"DFF",-0.006036866359447,2022-06-15,2022-06-15
2021-04-01,"DFF",-0.00067741935483871,2022-06-15,2022-06-15
2021-05-01,"DFF",-0.0109354838709677,2022-06-15,2022-06-15
2021-06-01,"DFF",0.0199354838709677,2022-06-15,2022-06-15
2021-07-01,"DFF",0.0200645161290323,2022-06-15,2022-06-15
2021-08-01,"DFF",-0.00580645161290323,2022-06-15,2022-06-15
2021-09-01,"DFF",-0.0129247311827957,2022-06-15,2022-06-15
2021-10-01,"DFF",-0.000301075268817204,2022-06-15,2022-06-15
2021-11-01,"DFF",0.000634408602150538,2022-06-15,2022-06-15
2021-12-01,"DFF",1.0752688172043e-05,2022-06-15,2022-06-15
2022-01-01,"DFF",-0.00032258064516129,2022-06-15,2022-06-15
2022-02-01,"DFF",0.000645161290322581,2022-06-15,2022-06-15
2022-03-01,"DFF",0.120967741935484,2022-06-15,2022-06-15
2022-04-01,"DFF",0.129032258064516,2022-06-15,2022-06-15
2022-05-01,"DFF",0.435483870967742,2022-06-15,2022-06-15
2022-06-01,"DFF",0.75,2022-06-15,2022-06-15
